Date,Time,Product,ISIN,Reference,Venue,Quantity,Price,,Local value,,Value,,Exchange rate,Transaction and/or third,,Total,,Order ID
07/11/2022,11:44,AMAZON.COM INC,US0231351067,TDG,XGAT,100,92.11,EUR,-9211,EUR,-9211,EUR,,-3.9,EUR,-9214.9,EUR,8760dc5b-ca56-44bd-9143-8e4e7e771265
03/11/2022,14:30,META PLATFORMS INC,US30303M1027,NDQ,XNAS,30,90.06,USD,-2701.8,USD,-2770.24,EUR,0.98,-1,EUR,-2771.24,EUR,75015962-640b-4908-ba72-76388f6ae0a0
02/11/2022,07:01,TWITTER INC,US90184L1026,TDG,,-40,0,EUR,0,EUR,0,EUR,,,EUR,0,EUR,
27/09/2022,19:44,ROBINHOOD MARKETS INC,US7707001027,NDQ,SOHO,-249,9.451,USD,2353.3,USD,2456.74,EUR,0.96,-1,EUR,2455.74,EUR,f454fb2b-6826-4b5a-9ee7-49950a11e8b8
16/09/2022,08:01,ADR ON ALIBABA GROUP HOLDING,US01609W1027,TDG,XGAT,100,89,EUR,-8900,EUR,-8900,EUR,,-3.9,EUR,-8903.9,EUR,852ca5f6-392e-4abc-af38-8bc6b635b816
16/09/2022,08:01,ADR ON ALIBABA GROUP HOLDING,US01609W1027,TDG,XGAT,1,89,EUR,-89,EUR,-89,EUR,,-3.9,EUR,-92.9,EUR,1d4ad4e9-3419-4839-9b7b-eca495480ff3
16/09/2022,08:00,ADR ON ALIBABA GROUP HOLDING,US01609W1027,TDG,XGAT,2,89.05,EUR,-178.1,EUR,-178.1,EUR,,-3.9,EUR,-182,EUR,019346f8-dad9-4998-8b31-fe267ef4460b
14/09/2022,11:58,BOOST EURO STOXX BANKS 3X LEVERAGE DAILY,IE00BLS09N40,MIL,ETFP,1000,3.157,EUR,-3157,EUR,-3157,EUR,,-3,EUR,-3160,EUR,839d913d-1f6a-4f86-9326-8f2a65fda232
13/09/2022,13:44,AIB GROUP PLC,IE00BF0L3536,TDG,XGAT,1000,2.598,EUR,-2598,EUR,-2598,EUR,,,EUR,-2598,EUR,ba77802c-3be6-4c66-97ce-6d63025ec2b9
13/09/2022,13:43,AIB GROUP PLC,IE00BF0L3536,TDG,XGAT,2000,2.598,EUR,-5196,EUR,-5196,EUR,,-3.9,EUR,-5199.9,EUR,ba77802c-3be6-4c66-97ce-6d63025ec2b9
08/09/2022,10:59,KINGSPAN GRP PLC,IE0004927939,IRL,MESI,300,57.58,EUR,-17274,EUR,-17274,EUR,,-3,EUR,-17277,EUR,97dba6fa-f1cb-4d32-900f-a6d709f2e0da
08/09/2022,10:55,BANK OF IRELAND GROUP PLC,IE00BD1RP616,IRL,"AQEU, CEUX, HREU, XMSM",-12000,6.351,EUR,76212.2,EUR,76212.2,EUR,,-3,EUR,76209.2,EUR,93d37b97-ef9f-4774-a17f-8c32fd135a9f
05/09/2022,13:18,KINGSPAN GRP PLC,IE0004927939,IRL,MESI,125,57.02,EUR,-7127.5,EUR,-7127.5,EUR,,-3,EUR,-7130.5,EUR,fd896854-e427-4493-8e41-72c9024b9d86
05/09/2022,11:43,TWITTER INC,US90184L1026,TDG,XGAT,-160,38.72,EUR,6195.2,EUR,6195.2,EUR,,-3.9,EUR,6191.3,EUR,76999884-e6cd-4fc2-8f72-ab1453dcc1ea
30/08/2022,10:34,BOOST EURO STOXX BANKS 3X LEVERAGE DAILY,IE00BLS09N40,MIL,ETFP,150,2.4615,EUR,-369.22,EUR,-369.22,EUR,,-2.5,EUR,-371.72,EUR,afaa0f10-08d0-4fe0-b061-cdc2d4acf118
24/08/2022,11:38,AMAZON.COM INC,US0231351067,TDG,XGAT,80,133.98,EUR,-10718.4,EUR,-10718.4,EUR,,-3.9,EUR,-10722.3,EUR,e2180708-1134-477c-8409-c2918028d152
24/08/2022,09:04,ISHARES CORE DAX UCITS ETF (DE),DE0005933931,XET,XETA,-100,111.06,EUR,11106,EUR,11106,EUR,,-2.5,EUR,11103.5,EUR,bfdbc6f9-4673-4738-a3c8-50aba12c1161
16/08/2022,09:04,BOOST EURO STOXX BANKS 3X LEVERAGE DAILY,IE00BLS09N40,MIL,ETFP,1,3.03,EUR,-3.03,EUR,-3.03,EUR,,-2.5,EUR,-5.53,EUR,226be414-0a03-4b98-afc0-a61291eb79c5
08/07/2022,15:28,WISDOMTREE ETHEREUM,GB00BJYDH394,XET,XETA,44,11.746,EUR,-516.82,EUR,-516.82,EUR,,-2.5,EUR,-519.32,EUR,13d8b3a5-ea3d-4b40-9554-07ef026970b2
06/07/2022,09:10,KINGSPAN GRP PLC,IE0004927939,IRL,XMSM,200,55,EUR,-11000,EUR,-11000,EUR,,-2.5,EUR,-11002.5,EUR,f4e3be90-3ec5-45a0-ba5d-8e77723cb388
05/07/2022,15:30,SALESFORCE.COM INC COM,US79466L3024,NSY,XNYS,7,166.1,USD,-1162.7,USD,-1132.91,EUR,1.03,-0.5,EUR,-1133.41,EUR,e333f757-3df1-4561-bb32-305280ffef7f
05/07/2022,10:34,WISDOMTREE ETHEREUM,GB00BJYDH394,XET,XETA,100,10.926,EUR,-1092.6,EUR,-1092.6,EUR,,-2.5,EUR,-1095.1,EUR,6bf1b904-bdcd-477d-8c39-1ae0aea40efa
05/07/2022,10:32,RYANAIR HOLDINGS PLC,IE00BYTBXV33,IRL,MESI,300,11.355,EUR,-3406.5,EUR,-3406.5,EUR,,-2.5,EUR,-3409,EUR,53432e00-713b-4d65-a4ba-1a6e726ba5c9
05/07/2022,09:00,RYANAIR HOLDINGS PLC,IE00BYTBXV33,IRL,XMSM,500,11.465,EUR,-5732.5,EUR,-5732.5,EUR,,-2.5,EUR,-5735,EUR,c64cf3c2-e8b9-443d-bebb-7e822322a750
04/07/2022,10:29,JUPITER FND,GB00B53P2009,LSE,MESI,2000,140,GBX,-280000,GBX,-3252.42,EUR,86.09,-4.4,EUR,-3256.82,EUR,8585f63e-b948-459b-9025-dbebda8013cb
04/07/2022,09:04,WISDOMTREE ETHEREUM,GB00BJYDH394,XET,XETA,100,9.9325,EUR,-993.25,EUR,-993.25,EUR,,-2.5,EUR,-995.75,EUR,fd0ad9dc-af92-4978-b2c4-95141ee4a245
04/07/2022,09:00,JUPITER FND,GB00B53P2009,LSE,XLON,20,140.1,GBX,-2802,GBX,-32.54,EUR,86.12,-4.4,EUR,-36.94,EUR,94a6373c-dfcf-4cb1-9322-8d0d0b8dc422
01/07/2022,13:38,CRH PLC ORD,IE0001827041,IRL,MESI,200,32.785,EUR,-6557,EUR,-6557,EUR,,-2.5,EUR,-6559.5,EUR,574e8812-c959-4bc3-8ac9-8dddca320006
01/07/2022,13:36,CRH PLC ORD,IE0001827041,IRL,MESI,200,32.77,EUR,-6554,EUR,-6554,EUR,,-2.5,EUR,-6556.5,EUR,755d6dde-043d-41c8-88f5-0e57f8734308
30/06/2022,09:21,HIBERNIA REIT PLC,IE00BGHQ1986,IRL,,-25366,0,EUR,0,EUR,0,EUR,,,EUR,0,EUR,
22/06/2022,10:33,CRH PLC ORD,IE0001827041,IRL,MESI,25,32.065,EUR,-801.62,EUR,-801.62,EUR,,-2.5,EUR,-804.12,EUR,b328499a-2618-466b-9c90-e50d14e84859
15/06/2022,13:25,CRH PLC ORD,IE0001827041,IRL,XMSM,48,34.72,EUR,-1666.56,EUR,-1666.56,EUR,,-2.5,EUR,-1669.06,EUR,e4c60f92-9f7a-44ca-9cb3-0cc459a5e611
15/06/2022,13:23,CRH PLC ORD,IE0001827041,IRL,MESI,-1,34.695,EUR,34.7,EUR,34.7,EUR,,-2.5,EUR,32.2,EUR,4c3c3c00-dd24-4640-9c34-dbfa65630c76
15/06/2022,13:21,CRH PLC ORD,IE0001827041,IRL,MESI,1,34.66,EUR,-34.66,EUR,-34.66,EUR,,-2.5,EUR,-37.16,EUR,63ecb9f1-2efa-4eb6-accc-f1e4132bf207
19/05/2022,09:04,HANETF S&P GLOBAL CLEAN ENERGY SELECT HANZEROâ„¢ UCITS ETF ACC,IE00BLH3CQ86,XET,XETA,600,5.08,EUR,-3048,EUR,-3048,EUR,,-2.5,EUR,-3050.5,EUR,09e59533-4191-420f-8e73-5b9924daa89b
29/04/2022,08:00,NETFLIX INC,US64110L1061,TDG,XGAT,20,188.48,EUR,-3769.6,EUR,-3769.6,EUR,,-3.9,EUR,-3773.5,EUR,8730f40c-19e3-4a7d-a438-7e6402718458
02/03/2022,15:30,SALESFORCE.COM INC COM,US79466L3024,NSY,XNYS,10,216,USD,-2160,USD,-1946.13,EUR,1.11,-0.5,EUR,-1946.63,EUR,8357fd73-8f5b-4807-933c-2e8326c5208f
24/02/2022,17:35,SYNCONA LIMITED,GG00B8P59C08,LSE,XLON,1000,174.4,GBX,-174400,GBX,-2087.59,EUR,83.54,-4.4,EUR,-2091.99,EUR,af675a8e-d414-4615-9b85-e91d389bac9d
07/02/2022,08:00,TWITTER INC,US90184L1026,TDG,XGAT,200,32.725,EUR,-6545,EUR,-6545,EUR,,-3.9,EUR,-6548.9,EUR,30ea9372-def0-4b5c-b873-b5e36859e4a9
05/01/2022,15:30,AMRYT PHARMA PLC - AMERICAN DEPOSITARY SHARES,US03217L1061,NDQ,XNAS,200,10.68,USD,-2136,USD,-1884.27,EUR,1.13,-0.5,EUR,-1884.77,EUR,5595a68e-c4f8-45f3-b564-f2fae3328121
12/11/2021,15:30,ROBINHOOD MARKETS INC,US7707001027,NDQ,XNAS,50,34.75,USD,-1737.5,USD,-1518.66,EUR,1.14,-0.67,EUR,-1519.33,EUR,8d691da3-e784-4277-9300-635d55d50ff3
10/08/2021,15:30,CLEAN ENERGY FUELS COR,US1844991018,NDQ,XNAS,500,7.84,USD,-3920,USD,-3346.14,EUR,1.17,-2.21,EUR,-3348.35,EUR,f9ef3124-48ed-4b0f-81a3-ddeda24863a6
05/08/2021,20:06,ROBINHOOD MARKETS INC,US7707001027,NDQ,CDED,200,59.22,USD,-11844,USD,-10008.83,EUR,1.18,-1.17,EUR,-10010,EUR,12707723-0333-432f-9424-a4de121d3ddd
21/06/2021,09:00,BANK OF IRELAND GROUP PLC,IE00BD1RP616,IRL,XMSM,3000,4.54,EUR,-13620,EUR,-13620,EUR,,-8.81,EUR,-13628.81,EUR,9db0a31d-105d-4b8f-b9b5-9e7fcc6f4774
12/04/2021,09:03,HIBERNIA REIT PLC,IE00BGHQ1986,IRL,XMSM,10000,1.16,EUR,-11600,EUR,-11600,EUR,,-7.8,EUR,-11607.8,EUR,3aa8e02f-ff6e-46bf-8e5f-b12899dc79d2
11/01/2021,00:00,CAPRICORN ENERGY PLC,GB00BN0SMB92,LSE,,423,244.1636,GBX,-103281.2,GBX,-1148.9,EUR,89.9,,EUR,-1148.9,EUR,
11/01/2021,00:00,CAIRN ENERGY,GB00B74CDH82,LSE,,-500,206.6,GBX,103300,GBX,1149.11,EUR,89.9,,EUR,1149.11,EUR,
17/11/2020,00:00,VIATRIS INC. - COMMON STOCK,US92556V1061,NDQ,,1,0,USD,0,USD,0,EUR,1.17,,EUR,0,EUR,
11/11/2020,15:30,PFIZER INC. COMMON ST,US7170811035,NSY,XNYS,10,39,USD,-390,USD,-331.86,EUR,1.18,-0.53,EUR,-332.39,EUR,f019ff61-35bd-4bf9-a4e3-7fd436a9ab34
18/09/2020,08:22,WT ISEQ20 ETF E,IE00BVFB1H83,LSE,,-4045,0,EUR,0,EUR,0,EUR,,,EUR,0,EUR,
05/06/2020,11:41,WT ISEQ20 ETF E,IE00BVFB1H83,LSE,XLON,1,13.368,EUR,-13.37,EUR,-13.37,EUR,,-2,EUR,-15.37,EUR,5ee262ca-ad83-433f-82e0-24bc221be7cd
16/04/2020,12:42,BANK OF IRELAND GROUP PLC,IE00BD1RP616,IRL,"MSSI, XMSM",3650,1.3556,EUR,-4948.06,EUR,-4948.06,EUR,,-4.48,EUR,-4952.54,EUR,82c8f7c8-5167-49b5-b66c-a4549a772f18
01/04/2020,12:18,BANK OF IRELAND GROUP PLC,IE00BD1RP616,IRL,"BATE, TRQX, XMSM",5900,1.6857,EUR,-9945.34,EUR,-9945.34,EUR,,-6.97,EUR,-9952.31,EUR,b6ca162e-e1a0-47fe-a976-1fa70969c3c4
18/03/2020,15:18,HIBERNIA REIT PLC,IE00BGHQ1986,IRL,"AQXE, CHIX, XLON, XMSM",12700,0.7669,EUR,-9739.91,EUR,-9739.91,EUR,,-6.88,EUR,-9746.79,EUR,8166a3bf-3096-45b8-ae08-544fb200d102
02/03/2020,09:23,BANK OF IRELAND GROUP PLC,IE00BD1RP616,IRL,XMSM,940,3.38,EUR,-3177.2,EUR,-3177.2,EUR,,-3.59,EUR,-3180.79,EUR,b01d60ef-c843-4ade-ab27-1e27ff49d516
21/08/2019,12:25,BANK OF IRELAND GROUP PLC,IE00BD1RP616,IRL,XMSM,5000,3.2929,EUR,-16464.74,EUR,-16464.74,EUR,,-11.54,EUR,-16476.28,EUR,0c31a3a7-cbda-4e9c-af8e-7b1983ab7217
20/08/2019,15:13,AMUNDI EURO STOXX 50 UCITS ETF DR - EUR (C),LU1681047236,XET,XETR,-392,74.35,EUR,29145.2,EUR,29145.2,EUR,,-13.08,EUR,29132.12,EUR,5725d73a-93c1-4a79-97b7-a1bcae8b8088
25/07/2019,09:04,ETFLAB EURO STOXX 50,DE000ETFL029,XET,XETR,-1175,35.98,EUR,42276.5,EUR,42276.5,EUR,,,EUR,42276.5,EUR,17a6811a-0b6e-4579-905c-9e29464e1168
10/07/2019,14:36,BANK OF IRELAND GROUP PLC,IE00BD1RP616,IRL,XMSM,2110,4.6862,EUR,-9887.91,EUR,-9887.91,EUR,,-7.74,EUR,-9895.65,EUR,fb12a733-2b72-4a2c-9713-12f9a21d8b06
14/06/2019,15:54,SMITH(DS),GB0008220112,LSE,XLON,440,351.6,GBX,-154704,GBX,-1737.08,EUR,89.06,-5.01,EUR,-1742.09,EUR,ea1e16b3-d1a6-4533-b238-b1dd75984b03
12/12/2018,09:00,BANK OF IRELAND GROUP PLC,IE00BD1RP616,IRL,XDUB,765,5.1,EUR,-3901.5,EUR,-3901.5,EUR,,-4.26,EUR,-3905.76,EUR,7752c30c-80ba-44bf-909a-75df8d08db3e
11/12/2018,17:45,META PLATFORMS INC,US30303M1027,NDQ,EDGA,-30,142.61,USD,4278.3,USD,3781.16,EUR,1.13,-0.61,EUR,3780.55,EUR,d22f195a-847b-4b9a-a76c-61e5415a3f03
16/11/2018,09:00,RYANAIR HOLDINGS PLC,IE00BYTBXV33,IRL,XDUB,300,12,EUR,-3600,EUR,-3600,EUR,,-4.09,EUR,-3604.09,EUR,1e75e04d-2894-4a12-8f85-677c9a68b301
15/11/2018,09:59,MARKS & SP.,GB0031274896,LSE,XLON,-883,294.4,GBX,259955.2,GBX,2966.45,EUR,87.63,-5.72,EUR,2960.73,EUR,38070bcf-3ef5-4b71-ad1b-26bb30cbd3c1
06/11/2018,09:49,WT ISEQ20 ETF E,IE00BVFB1H83,LSE,XLON,600,12.584,EUR,-7550.4,EUR,-7550.4,EUR,,-4.87,EUR,-7555.27,EUR,aba63e44-58d8-4680-b95f-0acafac55e21
09/04/2018,17:29,META PLATFORMS INC,US30303M1027,NDQ,XBOS,30,159.26,USD,-4777.8,USD,-3877.19,EUR,1.23,-0.6,EUR,-3877.79,EUR,eb4d8aff-24b0-4e47-a42b-139dd90d1e61
03/04/2018,09:00,WT ISEQ20 ETF E,IE00BVFB1H83,LSE,XLON,714,13.322,EUR,-9511.91,EUR,-9511.91,EUR,,-3.9,EUR,-9515.81,EUR,41cae98c-f125-418d-9a29-09b94e00173f
23/02/2018,09:04,ETFLAB EURO STOXX 50,DE000ETFL029,XET,XETW,375,34.695,EUR,-13010.62,EUR,-13010.62,EUR,,,EUR,-13010.62,EUR,6d8bfe33-fd4e-4de0-80e2-ad184f3b7c4d
20/02/2018,09:29,WT ISEQ20 ETF E,IE00BVFB1H83,LSE,XLON,710,13.666,EUR,-9702.86,EUR,-9702.86,EUR,,-3.94,EUR,-9706.8,EUR,afacfdaf-4110-4bab-a725-5252c0149217
16/02/2018,13:25,ETFLAB EURO STOXX 50,DE000ETFL029,XET,XETR,800,34.555,EUR,-27644,EUR,-27644,EUR,,,EUR,-27644,EUR,6abdc7f0-839d-46cd-a434-eaf6733e778b
14/02/2018,00:00,AMUNDI ETF EURO STOXX 50 UCITS ETF DR - EUR (C),FR0010654913,XET,,-392,70.01,EUR,27443.92,EUR,27443.92,EUR,,,EUR,27443.92,EUR,
14/02/2018,00:00,AMUNDI EURO STOXX 50 UCITS ETF DR - EUR (C),LU1681047236,XET,,392,70.01,EUR,-27443.92,EUR,-27443.92,EUR,,,EUR,-27443.92,EUR,
17/01/2018,09:40,HIBERNIA REIT PLC,IE00BGHQ1986,IRL,XDUB,2666,1.476,EUR,-3935.02,EUR,-3935.02,EUR,,-3.57,EUR,-3938.59,EUR,eb17d3b9-a053-4414-9fae-bd6785cc12b4
11/01/2018,17:22,MARKS & SP.,GB0031274896,LSE,XLON,883,301.7,GBX,-266401.1,GBX,-3007.32,EUR,88.58,-5.2,EUR,-3012.52,EUR,29d167a6-3951-4f40-b793-1037b3f5bde3
05/01/2018,15:24,AMUNDI ETF EURO STOXX 50 UCITS ETF DR - EUR (C),FR0010654913,XET,XETR,131,75.3,EUR,-9864.3,EUR,-9864.3,EUR,,-3.97,EUR,-9868.27,EUR,f8de9ccc-7a67-433a-91b8-6b89021a2058
02/01/2018,11:29,WT ISEQ20 ETF E,IE00BVFB1H83,LSE,,666,14.26,EUR,-9497.16,EUR,-9497.16,EUR,,-3.9,EUR,-9501.06,EUR,b0a1a980-ea0f-4f11-baeb-619b85933445
02/01/2018,11:25,WT ISEQ20 ETF E,IE00BVFB1H83,LSE,,665,14.25,EUR,-9476.25,EUR,-9476.25,EUR,,-3.9,EUR,-9480.15,EUR,282ff28f-e237-4fc3-9526-3073cf4b3db6
28/12/2017,12:43,ISHARES CORE DAX UCITS ETF (DE),DE0005933931,XET,,87,113.49,EUR,-9873.63,EUR,-9873.63,EUR,,,EUR,-9873.63,EUR,33925855-2bc9-4c79-b014-8cac1e4ba248
21/12/2017,13:10,WT ISEQ20 ETF E,IE00BVFB1H83,LSE,,689,14.16,EUR,-9756.24,EUR,-9756.24,EUR,,-3.95,EUR,-9760.19,EUR,82a62f21-5f6d-4c87-8464-12320c0af797
20/12/2017,12:33,AMUNDI ETF EURO STOXX 50 UCITS ETF DR - EUR (C),FR0010654913,XET,,133,74.49,EUR,-9907.17,EUR,-9907.17,EUR,,-3.98,EUR,-9911.15,EUR,298b4ecd-a70c-4be0-907e-505a86dc9a9d
19/12/2017,10:59,RYANAIR HOLDINGS PLC,IE00BYTBXV33,IRL,,300,15.25,EUR,-4575,EUR,-4575,EUR,,-3.83,EUR,-4578.83,EUR,f309ade7-2d95-4347-9c9e-82aaaf802e03
19/12/2017,10:57,ISHARES CORE DAX UCITS ETF (DE),DE0005933931,XET,,86,115.81,EUR,-9959.66,EUR,-9959.66,EUR,,,EUR,-9959.66,EUR,be7f6069-9adb-48de-ad8b-4b2af2066916
13/12/2017,11:02,ISHARES CORE DAX UCITS ETF (DE),DE0005933931,XET,,86,114.41,EUR,-9839.26,EUR,-9839.26,EUR,,,EUR,-9839.26,EUR,0aed5310-a8ca-4acd-9942-a6bc44031c8b
08/11/2017,15:00,AMUNDI ETF EURO STOXX 50 UCITS ETF DR - EUR (C),FR0010654913,XET,,128,76.215,EUR,-9755.52,EUR,-9755.52,EUR,,-3.95,EUR,-9759.47,EUR,ba5d9e3d-3448-4f72-abea-081217000d86
10/07/2017,00:00,BANK OF IRELAND,IE0030606259,IRL,,-30000,0.246,EUR,7380,EUR,7380,EUR,,,EUR,7380,EUR,
10/07/2017,00:00,BANK OF IRELAND GROUP PLC,IE00BD1RP616,IRL,,1000,7.38,EUR,-7380,EUR,-7380,EUR,,,EUR,-7380,EUR,
24/04/2017,15:53,CAIRN ENERGY,GB00B74CDH82,LSE,,500,196.4,GBX,-98200,GBX,-1156.3,EUR,84.93,-4.46,EUR,-1160.76,EUR,80880d2a-395e-4577-ae08-fbe882550c3d
21/04/2017,10:30,KENMARE RES.,IE00BDC5DG00,LSE,,300,300,GBX,-90000,GBX,-1074.78,EUR,83.74,-4.43,EUR,-1079.21,EUR,d9412364-3bf0-42c9-8a2b-f2546c0f4022
21/04/2017,09:10,BANK OF IRELAND,IE0030606259,IRL,,30000,0.247,EUR,-7410,EUR,-7410,EUR,,-4.96,EUR,-7414.96,EUR,9471d481-124e-428a-b876-9ce160074ac0
