Date,Time,Product,ISIN,Reference,Venue,Quantity,Price,,Local value,,Value,,Exchange rate,Transaction and/or third,,Total,,Order ID
10/04/2025,09:18,AMAZON.COM INC,US0231351067,TDG,XGAT,100,173.6,EUR,-17360,EUR,-17360,EUR,,-3.9,EUR,-17363.9,EUR,4ca2096c-8bd1-4909-ba19-b4d15504964b
09/04/2025,21:58,ADVANCED MICRO DEVICES,US0079031078,NDQ,CDED,100,96.665,USD,-9666.5,USD,-8837.25,EUR,1.09,-2,EUR,-8839.25,EUR,58d46b2c-015e-4d4e-a532-ef283c06b1a5
08/04/2025,15:47,RYANAIR HOLDINGS PLC,IE00BYTBXV33,IRL,MESI,-250,18.41,EUR,4602.5,EUR,4602.5,EUR,,-3,EUR,4599.5,EUR,f19a7fd6-b938-4fd3-bbd5-8d5eb35c8c5f
08/04/2025,09:00,KINGSPAN GRP PLC,IE0004927939,IRL,XMSM,-1,68.5,EUR,68.5,EUR,68.5,EUR,,-3,EUR,65.5,EUR,9b637471-a20e-40b0-85bf-635df4cb2967
07/04/2025,15:09,ISHARES CORE DAX UCITS ETF (DE),DE0005933931,XET,XETA,-60,165,EUR,9900,EUR,9900,EUR,,-3,EUR,9897,EUR,3f0e25dd-d18b-43bb-af95-af27ad47b95d
07/04/2025,09:13,BANK OF IRELAND GROUP PLC,IE00BD1RP616,IRL,"MESI, XMSM",-414,9.2,EUR,3808.8,EUR,3808.8,EUR,,-3,EUR,3805.8,EUR,36ae9e89-1ae6-4253-9bd1-f46882b721e6
31/03/2025,16:37,BANK OF IRELAND GROUP PLC,IE00BD1RP616,IRL,MESI,-800,10.76,EUR,8608,EUR,8608,EUR,,-3,EUR,8605,EUR,7c3e5411-8911-4b33-96f6-35baf75d7785
31/03/2025,12:58,BOOST EURO STOXX BANKS 3X LEVERAGE DAILY,IE00BLS09N40,MIL,ETFP,-300,23.44,EUR,7032,EUR,7032,EUR,,-3,EUR,7029,EUR,cae2b631-991b-47b4-bb0e-723bb74854b7
31/03/2025,12:54,BOOST EURO STOXX BANKS 3X LEVERAGE DAILY,IE00BLS09N40,MIL,ETFP,-50,23.4688,EUR,1173.44,EUR,1173.44,EUR,,-3,EUR,1170.44,EUR,e2bee120-6854-452a-b22b-574ac1ab38f1
31/03/2025,09:11,AMAZON.COM INC,US0231351067,TDG,XGAT,-100,174.46,EUR,17446,EUR,17446,EUR,,-3.9,EUR,17442.1,EUR,c4812263-a2c6-4675-b023-2362b0af9dfa
