Date,Time,Product,ISIN,Reference exchange,Venue,Quantity,Price ,,Local value,,Value EUR,Exchange rate,AutoFX Fee,Transaction and/or third party fees EUR,Total EUR,Order ID,,
17-08-2022,12:03,BOOST EURO STOXX BANKS 3X LEVERAGE DAILY,IE00BLS09N40,MIL,ETFP,100,3.0425,EUR,-304.25,EUR,-304.25,,0.00,-2.50,-306.75,,8f245c9f-3cd1-4c23-8fe7-fc024d96ae00,
16-08-2022,11:36,BOOST EURO STOXX BANKS 3X LEVERAGE DAILY,IE00BLS09N40,MIL,ETFP,"7,900",3.0880,EUR,"-24,395.20",EUR,"-24,395.20",,0.00,-2.50,"-24,397.70",,b65acf7d-d1d5-439c-a603-022193ba2c68,
16-08-2022,09:50,BOOST EURO STOXX BANKS 3X LEVERAGE DAILY,IE00BLS09N40,MIL,ETFP,"-7,492",3.0620,EUR,"22,940.50",EUR,"22,940.50",,0.00,,"22,940.50",,9218fb9c-7787-4a79-8a9b-d4bf752ace1d,
16-08-2022,09:50,BOOST EURO STOXX BANKS 3X LEVERAGE DAILY,IE00BLS09N40,MIL,ETFP,-115,3.0620,EUR,352.13,EUR,352.13,,0.00,,352.13,,9218fb9c-7787-4a79-8a9b-d4bf752ace1d,
16-08-2022,09:50,BOOST EURO STOXX BANKS 3X LEVERAGE DAILY,IE00BLS09N40,MIL,ETFP,-400,3.0620,EUR,"1,224.80",EUR,"1,224.80",,0.00,-2.50,"1,222.30",,9218fb9c-7787-4a79-8a9b-d4bf752ace1d,
30-06-2022,09:21,HIBERNIA REIT PLC,IE00BGHQ1986,IRL,,"-43,000",0.0000,EUR,0.00,EUR,0.00,,0.00,,0.00,,,
03-05-2022,10:33,NETFLIX INC,US64110L1061,TDG,XGAT,7,190.4400,EUR,"-1,333.08",EUR,"-1,333.08",,0.00,-3.90,"-1,336.98",,a9349b10-bf99-4c82-9ee1-da428739bd29,
03-05-2022,09:40,BEAZLEY PLC/UK,GB00BYQ0JC66,LSE,XLON,-270,435.0000,GBX,"117,450.00",GBX,"1,399.05",83.9497,-3.50,-4.40,"1,394.65",,07493b72-4072-4987-beb8-12dfa3ae8c0e,
02-05-2022,13:56,NETFLIX INC,US64110L1061,TDG,XGAT,4,180.5000,EUR,-722.00,EUR,-722.00,,0.00,-3.90,-725.90,,7580e67c-127a-487f-bd0d-e056cdd893e9,
02-03-2022,16:12,HYZON MOTORS INC,US44951Y1029,NDQ,CDED,-131,5.4600,USD,715.26,USD,644.91,1.1091,-1.61,-0.50,644.41,,e2af3e22-e5cf-4ca9-8222-f236057c8b53,
28-02-2022,14:18,BOOST EURO STOXX BANKS 3X LEVERAGE DAILY,IE00BLS09N40,MIL,ETFP,200,4.4180,EUR,-883.60,EUR,-883.60,,0.00,-2.50,-886.10,,8351674e-4ade-4bee-93aa-ee2781a8c6b0,
22-11-2021,15:31,ADR ON ALIBABA GROUP HOLDING,US01609W1027,NSY,XNYS,12,140.0000,USD,"-1,680.00",USD,"-1,494.40",1.1242,-1.49,,"-1,494.40",,7e848cb6-9238-42d3-a4d3-6206106cdb48,
10-11-2021,10:10,BOOST EURO STOXX BANKS 3X LEVERAGE DAILY,IE00BLS09N40,MIL,MTAA,"2,000",6.7380,EUR,"-13,476.00",EUR,"-13,476.00",,0.00,-6.04,"-13,482.04",,597b1245-1928-4f4e-af8e-e841019fdc29,
05-11-2021,20:36,HYZON MOTORS INC,US44951Y1029,NDQ,CDED,"1,000",5.7500,USD,"-5,750.00",USD,"-4,972.33",1.1564,-4.97,-3.96,"-4,976.29",,98df6af9-a080-41cd-b923-80c1db16ab3b,
05-08-2021,20:40,ROBINHOOD MARKETS INC,US7707001027,NDQ,CDED,20,57.9600,USD,"-1,159.20",USD,-979.30,1.1837,-0.98,-0.57,-979.87,,58e51b80-b9a7-4c85-b822-282ad325453d,
15-06-2021,09:05,BOOST EURO STOXX BANKS 3X LEVERAGE DAILY,IE00BLS09N40,MIL,MTAA,862,5.9100,EUR,"-5,094.42",EUR,"-5,094.42",,0.00,-3.53,"-5,097.95",,ed685139-3102-4cc0-92d8-93850b0c39b4,
19-05-2021,15:14,BOOST EURO STOXX BANKS 3X LEVERAGE DAILY,IE00BLS09N40,MIL,MTAA,945,5.2910,EUR,"-5,000.00",EUR,"-5,000.00",,0.00,-3.50,"-5,003.50",,1d587065-472c-41a4-81ad-5500a2574607,
16-04-2021,12:12,BOOST EURO STOXX BANKS 3X LEVERAGE DAILY,IE00BLS09N40,MIL,MTAA,800,4.1745,EUR,"-3,339.60",EUR,"-3,339.60",,0.00,-3.00,"-3,342.60",,ab9a2b23-57f8-4835-85ac-8a724b62b2fc,
07-04-2021,14:15,BANK OF IRELAND GROUP PLC,IE00BD1RP616,IRL,XMSM,765,4.2160,EUR,"-3,225.24",EUR,"-3,225.24",,0.00,-3.61,"-3,228.85",,b1acfd79-b507-44fc-a4e0-1052f458734f,
11-03-2021,09:00,BANK OF IRELAND GROUP PLC,IE00BD1RP616,IRL,XMSM,30,3.8360,EUR,-115.08,EUR,-115.08,,0.00,-2.06,-117.14,,35176b0d-9938-408c-a7b8-2051227b1ba5,
03-03-2021,10:50,BOOST EURO STOXX BANKS 3X LEVERAGE DAILY,IE00BLS09N40,MIL,MTAA,800,4.1295,EUR,"-3,303.60",EUR,"-3,303.60",,0.00,-2.99,"-3,306.59",,5204dca5-2c98-434d-bf9b-e99f6f754e49,
09-02-2021,09:04,BOOST EURO STOXX BANKS 3X LEVERAGE DAILY,IE00BLS09N40,MIL,MTAA,"2,400",3.0175,EUR,"-7,242.00",EUR,"-7,242.00",,0.00,-4.17,"-7,246.17",,42a218f7-6a7b-487e-82b2-1da9b536bf3c,
17-11-2020,00:00,VIATRIS INC. - COMMON STOCK,US92556V1061,NDQ,,17,0.0000,USD,0.00,USD,0.00,1.1718,0.00,,0.00,,,
16-11-2020,11:44,BEAZLEY PLC/UK,GB00BYQ0JC66,LSE,XLON,270,378.0000,GBX,"-102,060.00",GBX,"-1,136.02",89.8400,-1.14,-4.57,"-1,140.59",,8e58cc74-7587-48f0-b8de-7224a98caa85,
16-11-2020,11:40,ALSTRIA OFFICE REIT AG,DE000A0LD2U1,XET,XETA,-75,13.7000,EUR,"1,027.50",EUR,"1,027.50",,0.00,-4.51,"1,022.99",,1f157ccb-a987-4b0b-a2b3-2fa9725e76c3,
09-11-2020,16:50,PFIZER INC. COMMON ST,US7170811035,NSY,CDED,48,39.2600,USD,"-1,884.48",USD,"-1,594.86",1.1816,-1.59,-0.16,"-1,595.02",,382fea38-4ec4-4899-b155-718dca1b3bf7,
09-11-2020,16:50,PFIZER INC. COMMON ST,US7170811035,NSY,CDED,92,39.2550,USD,"-3,611.46",USD,"-3,056.42",1.1816,-3.06,-0.81,"-3,057.23",,382fea38-4ec4-4899-b155-718dca1b3bf7,
18-09-2020,08:22,WT ISEQ20 ETF E,IE00BVFB1H83,LSE,,-875,0.0000,EUR,0.00,EUR,0.00,,0.00,,0.00,,,
13-08-2020,11:58,BANK OF IRELAND GROUP PLC,IE00BD1RP616,IRL,,5,1.9880,EUR,-9.94,EUR,-9.94,,0.00,-2.00,-11.94,,6ecb43ca-d35f-4667-af06-33a598990abf,
13-08-2020,10:57,ALSTRIA OFFICE REIT AG,DE000A0LD2U1,XET,XETU,75,12.8400,EUR,-963.00,EUR,-963.00,,0.00,-4.48,-967.48,,7c471bf2-454b-4a9d-9f9b-c95e79bc22f0,
05-06-2020,11:43,WT ISEQ20 ETF E,IE00BVFB1H83,LSE,XLON,315,13.3560,EUR,"-4,207.14",EUR,"-4,207.14",,0.00,-3.26,"-4,210.40",,52faed21-c409-4df6-977a-4517dab850ab,
03-06-2020,09:17,FD TECHNOLOGIES PLC,GB0031477770,LSE,MSSI,186,"2,760.0000",GBX,"-513,360.00",GBX,"-5,768.73",88.9901,-5.77,-6.89,"-5,775.62",,3e2fb3c2-d827-42f7-b6e7-979038ca5c25,
02-06-2020,09:00,FD TECHNOLOGIES PLC,GB0031477770,LSE,AIMX,1,"2,630.0000",GBX,"-2,630.00",GBX,-29.64,88.7209,-0.03,-4.01,-33.65,,af4060b3-4a4a-42ff-b2d8-540d37f2abb8,
01-05-2020,16:11,FD TECHNOLOGIES PLC,GB0031477770,LSE,AIMX,13,"2,470.0000",GBX,"-32,110.00",GBX,-366.13,87.7001,-0.37,-4.18,-370.31,,2fef5db6-d257-4984-ba3e-96f0ec725268,
07-04-2020,12:50,HIBERNIA REIT PLC,IE00BGHQ1986,IRL,XMSM,185,1.0580,EUR,-195.73,EUR,-195.73,,0.00,-0.10,-195.83,,6743ac6b-6966-4a6f-ab9b-f9928f754216,
07-04-2020,12:50,HIBERNIA REIT PLC,IE00BGHQ1986,IRL,XMSM,"5,600",1.0580,EUR,"-5,924.80",EUR,"-5,924.80",,0.00,-2.96,"-5,927.76",,6743ac6b-6966-4a6f-ab9b-f9928f754216,
07-04-2020,12:50,HIBERNIA REIT PLC,IE00BGHQ1986,IRL,XMSM,"2,515",1.0560,EUR,"-2,655.84",EUR,"-2,655.84",,0.00,-1.33,"-2,657.17",,6743ac6b-6966-4a6f-ab9b-f9928f754216,
07-04-2020,12:50,HIBERNIA REIT PLC,IE00BGHQ1986,IRL,AQXE,700,1.0560,EUR,-739.20,EUR,-739.20,,0.00,-2.37,-741.57,,6743ac6b-6966-4a6f-ab9b-f9928f754216,
27-03-2020,09:15,WT ISEQ20 ETF E,IE00BVFB1H83,LSE,XLON,60,10.5740,EUR,-634.44,EUR,-634.44,,0.00,-2.19,-636.63,,66a5d825-aaf6-4996-9eb1-1e2cd010e9ab,
27-03-2020,09:14,HIBERNIA REIT PLC,IE00BGHQ1986,IRL,XMSM,37,0.9320,EUR,-34.48,EUR,-34.48,,0.00,-0.02,-34.50,,0a38b62b-d68a-4453-abc5-ff37af45701a,
27-03-2020,09:14,HIBERNIA REIT PLC,IE00BGHQ1986,IRL,XMSM,"1,126",0.9310,EUR,"-1,048.31",EUR,"-1,048.31",,0.00,-0.52,"-1,048.83",,0a38b62b-d68a-4453-abc5-ff37af45701a,
27-03-2020,09:14,HIBERNIA REIT PLC,IE00BGHQ1986,IRL,XMSM,700,0.9300,EUR,-651.00,EUR,-651.00,,0.00,-0.33,-651.33,,0a38b62b-d68a-4453-abc5-ff37af45701a,
27-03-2020,09:14,HIBERNIA REIT PLC,IE00BGHQ1986,IRL,XMSM,397,0.9290,EUR,-368.81,EUR,-368.81,,0.00,-0.18,-368.99,,0a38b62b-d68a-4453-abc5-ff37af45701a,
27-03-2020,09:14,HIBERNIA REIT PLC,IE00BGHQ1986,IRL,XMSM,"1,125",0.9290,EUR,"-1,045.13",EUR,"-1,045.13",,0.00,-0.52,"-1,045.65",,0a38b62b-d68a-4453-abc5-ff37af45701a,
27-03-2020,09:14,HIBERNIA REIT PLC,IE00BGHQ1986,IRL,XLON,"5,915",0.9290,EUR,"-5,495.04",EUR,"-5,495.04",,0.00,-2.75,"-5,497.79",,0a38b62b-d68a-4453-abc5-ff37af45701a,
27-03-2020,09:14,HIBERNIA REIT PLC,IE00BGHQ1986,IRL,AQXE,700,0.9290,EUR,-650.30,EUR,-650.30,,0.00,-2.33,-652.63,,0a38b62b-d68a-4453-abc5-ff37af45701a,
25-03-2020,10:45,BANK OF IRELAND GROUP PLC,IE00BD1RP616,IRL,XMSM,200,1.9380,EUR,-387.60,EUR,-387.60,,0.00,-2.19,-389.79,,45ab7419-d7fc-4789-936d-7c22b115e98f,
25-03-2020,10:44,HIBERNIA REIT PLC,IE00BGHQ1986,IRL,XMSM,"4,541",0.9030,EUR,"-4,100.52",EUR,"-4,100.52",,0.00,-2.05,"-4,102.57",,4fed0458-70a3-4140-9bd8-5588116a1193,
25-03-2020,10:44,HIBERNIA REIT PLC,IE00BGHQ1986,IRL,XMSM,"6,459",0.9030,EUR,"-5,832.48",EUR,"-5,832.48",,0.00,-4.92,"-5,837.40",,4fed0458-70a3-4140-9bd8-5588116a1193,
18-03-2020,09:00,HIBERNIA REIT PLC,IE00BGHQ1986,IRL,XMSM,299,0.8400,EUR,-251.16,EUR,-251.16,,0.00,-0.13,-251.29,,f7827a78-bcf9-474d-94c4-cb5a0cbe6c6d,
18-03-2020,09:00,HIBERNIA REIT PLC,IE00BGHQ1986,IRL,XMSM,"7,357",0.8400,EUR,"-6,179.88",EUR,"-6,179.88",,0.00,-3.09,"-6,182.97",,f7827a78-bcf9-474d-94c4-cb5a0cbe6c6d,
18-03-2020,09:00,HIBERNIA REIT PLC,IE00BGHQ1986,IRL,XMSM,"1,865",0.8400,EUR,"-1,566.60",EUR,"-1,566.60",,0.00,-0.78,"-1,567.38",,f7827a78-bcf9-474d-94c4-cb5a0cbe6c6d,
18-03-2020,09:00,HIBERNIA REIT PLC,IE00BGHQ1986,IRL,XMSM,349,0.8400,EUR,-293.16,EUR,-293.16,,0.00,-0.15,-293.31,,f7827a78-bcf9-474d-94c4-cb5a0cbe6c6d,
18-03-2020,09:00,HIBERNIA REIT PLC,IE00BGHQ1986,IRL,XMSM,"2,130",0.8400,EUR,"-1,789.20",EUR,"-1,789.20",,0.00,-2.89,"-1,792.09",,f7827a78-bcf9-474d-94c4-cb5a0cbe6c6d,
11-03-2020,12:47,WT ISEQ20 ETF E,IE00BVFB1H83,LSE,XLON,200,11.7800,EUR,"-2,356.00",EUR,"-2,356.00",,0.00,-2.71,"-2,358.71",,43d30b5b-2300-4f90-9beb-d0e20947144f,
11-03-2020,11:52,HIBERNIA REIT PLC,IE00BGHQ1986,IRL,XMSM,124,1.1500,EUR,-142.60,EUR,-142.60,,0.00,-0.07,-142.67,,2303d84c-164f-417c-94eb-85654cf30216,
11-03-2020,11:52,HIBERNIA REIT PLC,IE00BGHQ1986,IRL,XMSM,376,1.1500,EUR,-432.40,EUR,-432.40,,0.00,-2.22,-434.62,,2303d84c-164f-417c-94eb-85654cf30216,
11-03-2020,11:50,BANK OF IRELAND GROUP PLC,IE00BD1RP616,IRL,XMSM,100,2.8320,EUR,-283.20,EUR,-283.20,,0.00,-2.14,-285.34,,49ceed6f-ab2c-4778-a851-d23670d5515e,
04-03-2020,09:01,WT ISEQ20 ETF E,IE00BVFB1H83,LSE,XLON,280,13.3000,EUR,"-3,724.00",EUR,"-3,724.00",,0.00,-3.12,"-3,727.12",,0ffbf84e-687b-434a-bc87-0d609d5c195a,
03-03-2020,17:30,BANK OF IRELAND GROUP PLC,IE00BD1RP616,IRL,XMSM,353,3.1960,EUR,"-1,128.19",EUR,"-1,128.19",,0.00,-2.56,"-1,130.75",,546b7969-ff66-47d9-9c92-9ea0030bda34,
03-03-2020,15:32,GARTNER INC. COMMON S,US3666511072,NSY,XNYS,1,129.5000,USD,-129.50,USD,-116.46,1.1120,-0.12,-0.50,-116.96,,31eb9fb1-57a9-4b96-ad57-7d843d58d7ce,
27-02-2020,09:27,BANK OF IRELAND GROUP PLC,IE00BD1RP616,IRL,MSSI,37,3.4900,EUR,-129.13,EUR,-129.13,,0.00,-2.06,-131.19,,294b9ee8-b912-4b55-bada-8d9f4e371923,
27-02-2020,09:24,WT ISEQ20 ETF E,IE00BVFB1H83,LSE,XLON,17,13.5200,EUR,-229.84,EUR,-229.84,,0.00,-2.07,-231.91,,a48de142-90e3-44d7-8a29-e802d83b63e4,
27-02-2020,09:23,HIBERNIA REIT PLC,IE00BGHQ1986,IRL,MSSI,500,1.2680,EUR,-634.00,EUR,-634.00,,0.00,-2.32,-636.32,,093467dc-467e-4cf6-bf1d-f4961244ef75,
10-02-2020,09:00,WT ISEQ20 ETF E,IE00BVFB1H83,LSE,XLON,3,14.5500,EUR,-43.65,EUR,-43.65,,0.00,-2.01,-45.66,,d1810534-15f3-49d9-9309-6d18591b0c46,
10-02-2020,09:00,BANK OF IRELAND GROUP PLC,IE00BD1RP616,IRL,XMSM,10,4.0500,EUR,-40.50,EUR,-40.50,,0.00,-2.02,-42.52,,83068d7d-bb51-4255-ae30-bcff02253469,
