Date,Time,Product,ISIN,Reference exchange,Venue,Quantity,Price ,,Local value,,Value EUR,Exchange rate,AutoFX Fee,Transaction and/or third party fees EUR,Total EUR,Order ID,,
04-04-2025,14:11,BOOST EURO STOXX BANKS 3X LEVERAGE DAILY,IE00BLS09N40,MIL,ETFP,104,16.0000,EUR,"-1,664.00",EUR,"-1,664.00",,0.00,,"-1,664.00",,e383b3f3-9161-431f-a80e-e32498d08881,
04-04-2025,14:11,BOOST EURO STOXX BANKS 3X LEVERAGE DAILY,IE00BLS09N40,MIL,ETFP,104,16.0000,EUR,"-1,664.00",EUR,"-1,664.00",,0.00,,"-1,664.00",,e383b3f3-9161-431f-a80e-e32498d08881,
04-04-2025,14:11,BOOST EURO STOXX BANKS 3X LEVERAGE DAILY,IE00BLS09N40,MIL,ETFP,104,16.0000,EUR,"-1,664.00",EUR,"-1,664.00",,0.00,,"-1,664.00",,e383b3f3-9161-431f-a80e-e32498d08881,
04-04-2025,14:11,BOOST EURO STOXX BANKS 3X LEVERAGE DAILY,IE00BLS09N40,MIL,ETFP,104,16.0000,EUR,"-1,664.00",EUR,"-1,664.00",,0.00,,"-1,664.00",,e383b3f3-9161-431f-a80e-e32498d08881,
04-04-2025,14:11,BOOST EURO STOXX BANKS 3X LEVERAGE DAILY,IE00BLS09N40,MIL,ETFP,104,16.0000,EUR,"-1,664.00",EUR,"-1,664.00",,0.00,,"-1,664.00",,e383b3f3-9161-431f-a80e-e32498d08881,
04-04-2025,14:11,BOOST EURO STOXX BANKS 3X LEVERAGE DAILY,IE00BLS09N40,MIL,ETFP,139,16.0000,EUR,"-2,224.00",EUR,"-2,224.00",,0.00,,"-2,224.00",,e383b3f3-9161-431f-a80e-e32498d08881,
04-04-2025,14:11,BOOST EURO STOXX BANKS 3X LEVERAGE DAILY,IE00BLS09N40,MIL,ETFP,139,16.0000,EUR,"-2,224.00",EUR,"-2,224.00",,0.00,,"-2,224.00",,e383b3f3-9161-431f-a80e-e32498d08881,
04-04-2025,14:11,BOOST EURO STOXX BANKS 3X LEVERAGE DAILY,IE00BLS09N40,MIL,ETFP,139,16.0000,EUR,"-2,224.00",EUR,"-2,224.00",,0.00,,"-2,224.00",,e383b3f3-9161-431f-a80e-e32498d08881,
04-04-2025,14:11,BOOST EURO STOXX BANKS 3X LEVERAGE DAILY,IE00BLS09N40,MIL,ETFP,139,16.0000,EUR,"-2,224.00",EUR,"-2,224.00",,0.00,-3.00,"-2,227.00",,e383b3f3-9161-431f-a80e-e32498d08881,
04-04-2025,14:05,ADVANCED MICRO DEVICES INC,US0079031078,TDG,XGAT,250,80.5000,EUR,"-20,125.00",EUR,"-20,125.00",,0.00,-3.90,"-20,128.90",,2ae77d65-506a-4ca1-9160-32ed81bacf0e,
04-04-2025,13:03,BOOST EURO STOXX BANKS 3X LEVERAGE DAILY,IE00BLS09N40,MIL,ETFP,"-1,060",15.3220,EUR,"16,241.32",EUR,"16,241.32",,0.00,,"16,241.32",,d8ad2b11-c3e8-4e79-aff8-aada1d18c858,
